id,name
2975,Laurence Fishburne
6384,Keanu Reeves
530,Carrie-Anne Moss
1107983,Martin Luther King Jr.
52057,Obba Babatundé
110380,Colin Powell
8349,Martin Sheen
3084,Marlon Brando
3087,Robert Duvall
18471,Anthony Anderson
74611,Tracee Ellis Ross
1407498,Marsai Martin
5141,Heather Langenkamp
5139,Robert Englund
5140,Wes Craven
21127,Bobby Cannavale
1692944,Heidi Schreck
64,Gary Oldman
1776,Francis Ford Coppola
529,Guy Pearce
532,Joe Pantoliano
181934,Al Sharpton
496175,Carmelo Anthony
1280183,Coretta Scott King
1006651,John Lewis
180659,Rosa Parks
1165240,Jason Alan Carvell
2787630,Valentin Zorin
89289,Jesse Jackson
2102583,Andrew Cohen
73988,Lyndon B. Johnson
21111,John F. Kennedy
2803017,Arthur John Birch
2803001,Haroldson Lafayette Hunt
2954,Jeffrey Wright
33663,Donald Trump
2301996,Mike Pence
214317,Benjamin C. Bradlee
13716,Carl Bernstein
117180,Tom Brokaw
937663,Neil Amdur
1931175,Bob Beamon
2662887,Ralph Boston
1700943,Jelani Cobb
938972,Angela Davis
1236595,Henry Louis Gates Jr.
559610,Allen West
2198533,Candace Owens
2699648,Robert Woodson
8654,Matthew Modine
104053,Michele Greene
60158,Shirley Jones
24810,Pat Boone
109686,Flex Alexander
2089925,Harvey B. Jackson
2535,Vivica A. Fox
225620,Rudolph Moise
1038,Jodie Foster
4173,Anthony Hopkins
349,Scott Glenn
4587,Halle Berry
9780,Angela Bassett
19011,George W. Bush
146687,Tony Blair
74266,Dick Cheney
1122373,Marion Barry Jr.
1122374,Chuck Brown
1122375,Lewis Franklin
68842,John Cho
1181293,Madeleine Albright
2189099,Park Chung-hee
3203,Russell Means
7862,Floyd Red Crow Westerman
26466,Caroline Kava
51551,James Handy
5606,Sissy Spacek
5632,Jack Fisk
1179102,Kathleen Kennedy
11367,Bradley Whitford
31028,Richard Schiff
1397846,Craig Barron
2166741,Robert A. Baum Jr.
3266,Joe Mantegna
36059,Joanna Pacula
21010,Alexandra Hay
101032,Rod McCary
103835,Jeff Monahan
6717,James Marshall
3248327,Philip Berrigan
1151688,Daniel Berrigan
3264883,Elizabeth McAlister
928944,Coleman Barks
2022250,Robert Bly
9979,Peter Coyote
514,Jack Nicholson
6193,Leonardo DiCaprio
1892,Matt Damon
7796,Illeana Douglas
851784,Mackenzie Foy
89819,Zachary Gordon
2641,Martin Landau
92029,Gabriel Bologna
218506,Gretchen Becker
2098136,Brian Becker
2098137,Richard Becker
2098138,Blase Bonpane
99272,Aleksandr Abdulov
35324,Anne Alvaro
93896,Mary Anderson
1158,Al Pacino
3085,James Caan
9857,Karl Malden
5248,Lee J. Cobb
18269,Brendan Fraser
147,Michael Madsen
82702,Michael Jackson
65605,Muhammad Ali
47775,Marc Anthony
4483,Dustin Hoffman
13570,Samuel Goldwyn
3417,Tony Goldwyn
68402,Barry Navidi
5049,John Hurt
68381,Thom Eberhardt
3092,Diane Keaton
12132,Michael Rooker
2130,Cary Elwes
932719,Jeff Gordon
106179,Anthony Franciosa
10190,Jill St. John
5250,Jack Klugman
8483,Horton Foote
8482,Robert Mulligan
6349,Alan J. Pakula
8487,Gregory Peck
8490,John Megna
6838,Frank Overton
2395,Whoopi Goldberg
1735828,Halle Bailey
53397,Christina Aguilera
2682390,Gerd Ludwig
2227,Nicole Kidman
4430,Sharon Stone
449538,Adele
13309,Oprah Winfrey
1661465,Lizzo
102786,Barack Obama
128550,Desmond Tutu
2320880,Sundar Pichai
31,Tom Hanks
4784,Laura Dern
516,Annette Bening
11784,Tom Atkins
78021,Lloyd Kaufman
16847,Eli Roth
2714,Lance Henriksen
18315,Monica Keena
15309,Lori Petty
44149,Yvette Nipar
102429,Roger Corman
102334,Bruce D. Clark
44762,Forrest J. Ackerman
100360,John Zacherle
62923,Ray Bradbury
16178,Rick Baker
64722,John Carl Buechler
62596,Kane Hodder
11357,Bruce Campbell
11770,John Carpenter
515,Glenn Close
43774,Daniel Roebuck
99596,Bob Burns
61956,Chuck Williams
113,Christopher Lee
4955,Dario Argento
15175,William Friedkin
3027,Stephen King
131120,Henry Strozier
9827,Rose Byrne
143103,Krew Boylan
21708,Tomas Milian
72983,Manny Pérez
124909,Danny Hoch
10297,Matthew McConaughey
368,Reese Witherspoon
1245,Scarlett Johansson
4038,Susan Sarandon
18992,Aidan Quinn
2047,Danny Glover
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
524,Natalie Portman
3894,Christian Bale
1810,Heath Ledger
3895,Michael Caine
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
219479,Criss Angel
1101349,Steve Aoki
1407495,Miles Brown
1812,Michelle Williams
6383,Aaron Eckhart
2559324,Beth Lane
2559325,Lea Madda
27888,Raul Julia
2630,Nastassja Kinski
1,George Lucas
7879,John Lasseter
2303,Wim Wenders
5293,Willem Dafoe
1032,Martin Scorsese
1150,Brian De Palma
1666,Julie Christie
2226,Sydney Pollack
1006721,Charles Scorsese
11483,Catherine Scorsese
46300,Alexander Nathan Etel
27889,Stephan Elliott
1331,Hugo Weaving
326,Kim Basinger
323,Curtis Hanson
11099,Dante Spinotti
7187,Richard Donner
57371,Jeff Cohen
3034,Corey Feldman
54422,Tupac Shakur
2391,Michael Dorn
1753,Nichelle Nichols
3635,Elizabeth Taylor
11510,Macaulay Culkin
179512,Marv Albert
1865991,Jim Boeheim
59785,Fat Joe
84932,Jay-Z
16450,Sean Combs
62861,Andy Samberg
19278,Bill Hader
49265,Lindsay Lohan
1408141,Fred Korematsu
116341,Bill Clinton
2149806,Gus Hall
1386798,Joseph McCarthy
100709,Junior Wells
2802990,Jean Paul Getty
13348,Howard Hughes
1247141,Harry S. Truman
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
61399,Mike Ditka
1232728,Jim McMahon
1723195,Mike Singletary
1050881,Jacqueline Kennedy
556514,Clark Clifford
3204409,John Foster Dulles
145819,Georges Bidault
1152,Oliver Stone
3331792,Vasili Arkhipov
120578,Franklin D. Roosevelt
57738,Samuel Labarthe
1141815,Charles de Gaulle
1204877,André Malraux
1257876,Margaret Whitmer
1051824,Tom Junod
1998031,Joanne Rogers
1116399,Winston Churchill
18802,Ronald Reagan
1802110,Werner Von Braun
7571,Blair Brown
84378,Nick Fraser
1420,Robert Drew
2102600,Jill Drew
225009,Pablo Larraín
6431,Darren Aronofsky
1670479,Abbas Abdi
1625013,Mahmoud Ahmadinejad
84384,Osama bin Laden
2214123,Véronique Préault
2412677,Xavier Pasco
2412679,John Logsdon
25072,Oscar Isaac
3910,Frances McDormand
1241,John Turturro
1145892,Ed Koch
1807640,Jane Jacobs
557911,Robert Kennedy Jr
7447,Alec Baldwin
1748,William Shatner
11161,Tom Savini
27765,Richard Nixon
1167702,Bruno Sammartino
1167703,Bob Backlund
2323039,Catherine Mercado-Muñiz
2339577,Carmen Yulín Cruz
10127,Jon Voight
1229169,Roger Ailes
16214,Mario Van Peebles
227811,Herschel Walker
1222706,Skip Bayless
1816204,Frederick Oberlander
1816207,Tevfik Arif
3342345,Tim Gielen
1954181,George Soros
240633,Bill Gates
1306642,Kimberly DiPersia
2289540,Alex R. Wagner
2662043,Andrew Cuomo
2266228,Kim Dae-jung
2435679,Lee Geum-hee
2266230,Kim Young-sam
1289968,Cara Delevingne
1718961,Alok Vaid-Menon
2762565,Steve Osunsami
56446,John Cena
237743,Melina Perez
568535,Matthew Kaye
1326321,Saraya-Jade Bevis
57342,Vince McMahon
2569912,Liane Rudolph
2601848,Pyotr Tolstoy
1173567,Vladimir Pozner jr.
16620,Hulk Hogan
77120,Steve Austin
1647876,Hans Henrik Wöhler
3252749,Michael Fanone
3370866,Aquilino Gonell
28151,Benoît Allemane
2982422,Michael S. Cullen
3242458,Isabelle Rouge-Ducos
117817,George Stephanopoulos
2353023,Anne Applebaum
2932834,Terry Moran
1257899,Kang Ha-neul
84788,Kim Moo-yul
240948,Moon Sung-keun
5469,Ralph Fiennes
2398868,Taghi Amirani
3203938,Farhad Diba
567335,Chris Benoit
115788,Paul Michael Lévesque
112219,Michael Hickenbottom
25504,André Roussimoff
160733,Nick Bockwinkel
2189100,Moon Jae-in
1671675,Yuna Kim
1644623,Ahn Jung-hwan
21278,Alan Alda
13724,Jane Alexander
1428889,Ivy Austin
3323316,Tricia Brooks
937664,Abraham Beame
937665,Bob Bright
16431,Sam Elliott
2203,Neal McDonough
2791669,Erika Andiola
2791670,Bob Bland
1262488,Emicida
10055,Fernanda Montenegro
81724,Zeca Pagodinho
2059,Adam Baldwin
7132,Vincent D'Onofrio
1357571,Mike Chunn
1357572,Nick D'Angelo
1357573,Kristine Fuemana
64825,Harry Hamlin
175981,Linda Doucett
21246,Corbin Bernsen
94814,Susan Dey
16476,Larry Drake
5788,James Cagney
87514,Roger Smith
2177,Lloyd Bridges
11140,Lynn Carlin
41250,Dick Sargent
33716,Terry Moore
108081,Malik Barnhardt
88183,Omar Gooding
44822,Starletta DuPois
562922,Christian Keyes
21215,Elise Neal
2654014,Mariah Robinson
2673964,Arie Thompson
21563,Corin Nemec
2939038,Sydney Malakeh
8689,Barry Shabaka Henley
2297056,Darik Bernard
58924,Clifton Powell
21355,DMX
1922617,Joy Rovaris
587035,Nadji Jeter
479206,Demetria McKinney
154382,Jazsmin Lewis
31134,Darrin Henson
74613,Terri J. Vaughn
1220781,Shelly Altman
115002,John Aniston
1395884,Gessica Généus
105762,Jimmy Jean-Louis
1142232,Soledad Elizabeth Jean
380,Robert De Niro
13,Albert Brooks
10774,Anne Bancroft
39187,Olivia Colman
34546,Mark Gatiss
9560,Ellen Burstyn
4786,Richard Attenborough
707,Dan Aykroyd
59219,Kyle Gallner
15675,Alison Elliott
1137,Juliette Binoche
33181,Jimmy Smits
63611,Nickolas Grace
53574,Eric Thal
16217,Lynn Whitfield
10696,Famke Janssen
10690,Anna Paquin
2710,James Cameron
8691,Zoe Saldaña
11008,Rebecca Romijn
11091,Brett Ratner
1160,Michelle Pfeiffer
1813,Anne Hathaway
37153,Zoë Kravitz
8891,John Travolta
44038,Nancy Allen
1121437,Leslie Felperin
70243,Eartha Kitt
15973,Julie Newmar
16108,Lee Meriwether
20494,Zoë Bell
20584,Lucy Lawless
590821,Tara Macken
44796,Franklyn Ajaye
77896,Bill Bellamy
35705,Regina Hall
143242,Terrence Jenkins
174837,Yolanda Adams
134,Jamie Foxx
56323,Tina Fey
78577,Graham Norton
3223,Robert Downey Jr.
16828,Chris Evans
103,Mark Ruffalo
1189929,Condoleezza Rice
7904,Billy Crystal
2801284,Anthony Amsterdam
1220601,John Chancellor
1066763,Darrell Royal
8261,Willie Nelson
50707,Ed Marinaro
3273875,Bob Taylor
3622690,Betty Ong
3622691,Nydia Gonzalez
1322032,John Ashcroft
1322033,Bob Brenly
1322034,Scott Brosius
3492377,Madeleine Albright
3492379,Ilie Alexandru
3492380,Ioan Amarie
2203808,Sérgio Vieira de Mello
1442410,Trevor Phillips
1442411,Nigel Farage
1306064,Princess Diana of Wales
174981,Prince Charles
558240,Queen Elizabeth II of the United Kingdom
139654,Genevieve O'Reilly
43019,Patrick Baladi
548763,Carlo Ferrante
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
447244,Jimmy Wong
206444,Constance Wu
1582,James Duval
1224812,Denny Kirkwood
19223,Nathan Bexton
1979,Kevin Spacey
2155,Thora Birch
216674,Hillary Clinton
975085,Jim Lehrer
1719741,George Shultz
3609598,Kim Sang-hyun
70899,Amara Zaragoza
42626,Trent Ford
6804,Graham Greene
69302,Litefoot
65529,Irene Bedard
72861,Robbie Robertson
84919,Rita Coolidge
237532,John Trudell
90654,Pam Dawber
8699,Michael Nouri
109899,Bess Meyer
500,Tom Cruise
996701,Miles Teller
6161,Jennifer Connelly
54693,Emma Stone
19492,Viola Davis
6944,Octavia Spencer
5375,Geoffrey Arend
52646,Vincent Kartheiser
1734,Annette O'Toole
287,Brad Pitt
192,Morgan Freeman
12052,Gwyneth Paltrow
5376,Jean Smart
5937,Kari Matchett
26009,Gail O'Grady
1067583,Suzanne Happ
10427,Anne Archer
781,Paul Reiser
33,Gary Sinise
5149,Bonnie Hunt
2144,Tobin Bell
141,David Carradine
2505,James Cromwell
1226195,Rob Stewart
13637,Joan Collins
76184,Bryan Marshall
75781,John Turner
39770,Adam Roarke
34721,Larry Bishop
83908,Daniel Massey
8499,William Windom
16896,James Garner
8857,Debbie Reynolds
15395,Maurice Ronet
21315,Eric Roberts
47879,John Savage
6474,James Le Gros
69122,Heather Graham
65344,Esai Morales
6677,Kyle MacLachlan
6678,Michael Ontkean
6714,Mädchen Amick
56890,Malcolm McDowell
46393,Roseanne Barr
9789,Robert Altman
6449,Warren Beatty
1353815,Dr. Diane Ravitch
1353816,Dr. Linda Darling-Hammond
20212,Dermot Mulroney
41249,Tess Harper
1841281,Joey Molland
1225302,Annie Nightingale
118764,Paulo Pires
36281,Imanol Arias
3199207,Jerry Dealey
3199208,Barry Ernest
21818,Lesley Ann Warren
12967,Swoosie Kurtz
13567,Ann-Margret
25834,Leslie Hope
1204293,J. Allen Hynek
2027993,Philip J. Klass
1189209,Woody Guthrie
2993220,Rick Sharp
20959,Louis Gossett Jr.
57829,Anthony LaPaglia
1066777,Mumia Abu-Jamal
65013,Rubin 'Hurricane' Carter
4808,Giancarlo Esposito
67315,Tenzin Gyatso
2734157,Xiaoming Zhu
2734158,Shamar Rinpoche
2045089,Jeanmarie Simpson
4687,Patricia Arquette
2045090,Joyce Julianne Auer
7071,Louise Fletcher
518,Danny DeVito
10409,Shelley Duvall
10410,Danny Lloyd
3391,Kathleen Turner
117075,Henry Jaglom
1428,Mick Jagger
1430,Keith Richards
1429,Charlie Watts
2974141,Alejandro G. Calvo
8500,John Ford
3248,David O. Selznick
34947,Kevin Conroy
1262612,Neal Adams
21200,Will Arnett
1487,Bob Dylan
7487,David Bowie
2282,Ben Kingsley
24045,Joseph Gordon-Levitt
3899,Ken Watanabe
15831,Frank Welker
16418,Casey Kasem
21007,Jonah Hill
234352,Margot Robbie
11478,Lorraine Bracco
27319,Christoph Waltz
9261,Frank Abagnale Jr.
488,Steven Spielberg
1678375,Robert Simon
3202303,Basil Hendry
3202306,Dianne Dwyer Modestini
2157,Robin Williams
880,Ben Affleck
19498,Jon Bernthal
3197,Tom Sizemore
12833,Edward Burns
83002,Jessica Chastain
11665,Michael Angarano
2171,Griffin Dunne
15864,Clarence Williams III
176557,Mark Kassen
19453,Tom Bower
17696,Kathryn Hahn
81316,Reid Scott
10767,Barbara Hershey
1366083,Grace Kaufman
566154,Bruce Daniels
1141310,Joe Dietl
75464,Carrie Aizley
11477,Ray Liotta
4517,Joe Pesci
204,Kate Winslet
20508,Iain Glen
1254526,Brianna Gentilella
17051,James Franco
1518619,Sigi Ravet
13922,Seth Green
188238,Matthew Senreich
52139,Seth MacFarlane
1205143,John Gazarian
1205144,Darlene Landau
2222,Beau Bridges
18878,Rob Cohen
9805,Sally Kellerman
93328,David Frost
9111,Peter Graves
98234,Barbara Bain
24589,Paul Mercurio
24590,Dominique Sanda
57905,Lindsay Wagner
18589,Lee Majors
105270,Tom Schanley
1750656,Irina Alferova
2318713,Lydia Smirnova
1280567,Mariya Solomina
2036356,Кира Рамонова
86664,Evgeni Leonov
86796,Tatyana Pelttser
1262765,Gražina Baikštytė
1189726,Akvelīna Līvmane
96512,Yelena Fadeyeva
3093608,Boris Bekker
1190055,Vladimir Vysotsky
1093400,Vladimir Konkin
86727,Sergei Yursky
35077,Didier Flamand
583590,Hélène Lapiower
10538,Vivien Leigh
11492,Clark Gable
8725,Olivia de Havilland
1159,Steven Bauer
5682,Anouk Aimée
44556,Richard Anconina
20234,Fanny Ardant
111714,Al Green
165867,Kid Rock
1936,Martin Balsam
5247,John Fiedler
30233,Rosalind Russell
19550,Melvyn Douglas
80237,Binnie Barnes
1932312,Maureen McCarthy
1932313,Cecil Moe
1037,Harvey Keitel
3129,Tim Roth
23920,Chad McQueen
6844,Dom DeLuise
68559,Gary Daniels
188707,Christopher Stapleton
14782,Andrew Robinson
190,Clint Eastwood
59554,Jesse Bernstein
1591097,Bryan Clark
1591098,Savannah Goldsmith
1572034,Robert Scott Wilson
2555,David Proval
7004,Paul Sorvino
7218,Kristanna Loken
1954,Billy Zane
11160,Danny Trejo
1227278,Siedah Garrett
2636676,David Williams
134710,Pat Dade
134711,Amy Smallman
2687948,Isaiah Sanders
108881,Brad Buxer
926,Ola Ray
1905,Vincent Price
4610,John Landis
10750,Sheryl Crow
1234966,Greg Phillinganes
56367,Naomi Campbell
200,Nancy Cartwright
5657,Anjelica Huston
19178,Dick Shawn
29292,Isaiah Sanders
18793,Kieran Culkin
2426206,Danny Wu
2284427,Charles Thomson
110001,Phil Collins
54421,Janet Jackson
3149,Marilyn Monroe
16866,Jennifer Lopez
138986,Tony Bennett
85564,Andrea Bocelli
122750,Leslie Uggams
109897,Ethel Merman
70089,Imogene Coca
6352,Jane Fonda
13301,Quincy Jones
1201284,Jacques Peretti
140567,Donny Osmond
2583773,J Randall Taraborelli
37934,André 3000
15310,Anthony Kiedis
12207,Kylie Minogue
20156,Sammy Davis Jr.
4347,Frank Sinatra
4299,Dean Martin
45042,Adam Ant
553721,Nick Ashford
1789239,Renaldo Benson
27011,Vanessa Williams
8851,Whitney Houston
543105,Ella Fitzgerald
990578,Rocky Marciano
1056814,Chris Dundee
107375,Joe Frazier
2712640,Mark Holden
65606,George Foreman
1304153,Imelda Marcos
87919,Mark Calaway
928391,Marty Lunde
87496,Daddy Yankee
2550161,Bad Bunny
5723,John Leguizamo
63522,Sofía Vergara
94759,Gloria Estefan
2774840,Luis Miranda
1179651,Lin-Manuel Miranda
11695,Lucas Foster
893,Tony Scott
4723,Brian Helgeland
863,Orson Bean
39015,Eileen Brennan
73931,Bette Midler
142439,Emmett Kelly
11850,Candice Bergen
9274,James Brolin
19803,Leonardo Sbaraglia
1084298,Alfredo Casero
100140,Daniel Rabinovich
1298360,Laverne Cox
1935918,Bianca Leigh
1583355,Jen Richards
35,Sally Field
21399,Ron Silver
17787,Phyllida Law
201511,Barry McCarthy
9188,Billy Connolly
47096,Roger Daltrey
136532,Matt Smith
20049,David Tennant
35862,Douglas Henshall
65446,Kate O'Flynn
10205,Sigourney Weaver
4139,Tom Skerritt
65,Ian Holm
578,Ridley Scott
5048,Harry Dean Stanton
47654,Paul McGann
1256731,Emma Campbell-Jones
45588,Clare Higgins
10828,Guillermo del Toro
66266,Mike Mignola
40832,Mike Richardson
47513,Peter Davison
137928,Colin Baker
80112,Sylvester McCoy
67773,Steve Martin
519,Martin Short
32749,Alex Diakun
99,Amanda Plummer
4027,Frank Darabont
1223867,Robert Kirkman
46348,Denise M. Huth
3026,Rob Reiner
32,Robin Wright
2127,James Wan
2128,Leigh Whannell
2675,Darren Lynn Bousman
1238314,Kurt Busch
204415,Jimmie Johnson
80253,Anjanette Comer
93655,Guy Stockwell
1747292,Robert Board
142858,Melissa Gilbert
117164,Joe Penny
50967,Doug McClure
940155,Alfred Drake
86104,Patricia Morison
231773,Julie Wilson
7046,Cecilia Peck
1102449,Veronique Peck
1811,Randy Quaid
36811,Nick Cannon
1870421,Collie Buddz
2412016,Lilly Bartlam
186529,Tony Daniels
88059,Tommy Davidson
15411,T.K. Carter
1684452,Eva Noblezada
11108,Simon Pegg
53396,Ron Wood
8534,Kathy Bates
1121,Benicio del Toro
3392,Michael Douglas
59315,Olivia Wilde
2838,Chloë Sevigny
4756,Matthew Broderick
15152,James Earl Jones
16940,Jeremy Irons
9309,Richard Pryor
57551,Mario Cantone
5726,Cedric the Entertainer
3072577,Elayne Boosler
2387,Patrick Stewart
2388,Jonathan Frakes
1213786,Brent Spiner
148120,Tiffany
83170,Valerie Harper
73641,Christiane Amanpour
1202593,Neil Barnard
33684,Bono
172069,Chadwick Boseman
1215522,Robin Roberts
1896,Don Cheadle
1650331,Jeremy O. Harris
350,Laura Linney
6240,Mariska Hargitay
21411,Ice-T
206637,Kelli Giddish
120608,Sonia Manzano
1596910,Nitya Vidyasagar
86800,Chloe Bailey
14386,Beyoncé
1214573,Serena Williams
93527,Kelly Rowland
72208,Alicia Keys
3284,Bruce Springsteen
18746,Stevie Wonder
167662,Ryan Seacrest
1564846,Auli'i Cravalho
1473281,James Monroe Iglehart
2522829,Vanessa Laine Bryant
23678,Michael Jordan
35806,Shaquille O'Neal
75394,Terence Donovan
1083951,Veronica Lang
150536,Barry Otto
76182,Nicholas Eadie
76788,Dev Patel
108916,Rooney Mara
1371,David Wenham
113552,Briony Behets
1242514,James Smillie
1246450,Bartholomew John
1164487,Princess Anne
82315,Jean Harlow
1916574,Caitlin Doughty
5168,Gabriel Byrne
71531,Deepak Chopra
1383964,Thích Nhất Hạnh
1867979,Sister Chân Không
40279,Jenna Elfman
40009,Matt Frewer
21290,Dave Foley
87525,Alan Carr
7056,Emma Thompson
929825,Ava DuVernay
2302408,Korey Wise
20019,Lee Daniels
1658802,Andra Day
964843,Michelle Obama
2503684,Abdullah bin Abdulaziz Al Saud
107379,LeBron James
55638,Kevin Hart
66620,Angela Merkel
2134341,Theresa May
1068409,Frank Marshall Davis
1068410,Ann Dunham
1068411,Stanley Dunham
149923,Lester Brown
1063969,Yvo de Boer
1063970,Paul R. Ehrlich
1101345,Avicii
89056,David Guetta
74090,Tiësto
89300,Nelson Mandela
10279,Adolf Hitler
46432,George H. W. Bush
3451053,Natalya Sindeeva
3527796,Aleksandr Vinokurov
1745467,Vera Krichevskaya
1173480,François Hollande
1348088,Laurent Delahousse
1977908,Claire Chazal
2169865,Birgitta Assheuer
2920376,Îlham Ahmed
2920377,Zaher al-Saket
3125,Madonna
1216701,Meghan Markle
1736908,Prince Harry
1142742,Tom Bradby
52,David Morse
3718,David Valdes
2574294,Spunk
572541,Caleb Landry Jones
1457107,Oscar Avila
35219,Corey Burton
325,Eminem
70851,Jack Black
26485,Jim Belushi
54812,Chevy Chase
2585,Eric Clapton
100183,Jeff Lynne
13745,Ravi Shankar
107602,Jeff Beck
107605,Lenny Bruce
13333,Vanessa Redgrave
60900,Taylor Kitsch
1603921,Eddie Canales
1603922,Chris Canales
3063345,Susan Collins
1230063,Kay Bailey Hutchison
1226789,Crystal Bernard
42141,Casey Sander
2231,Samuel L. Jackson
2049,Rubén Blades
52860,Judah Friedlander
1515269,John P. Brennan
1904715,Patricia Kaufman
1198123,Rachel Grubb
106207,Ari Lehman
2029964,Paymon Seyedi
1102159,Shawn C. Phillips
42545,Ron Jeremy
15832,Gilbert Gottfried
2772214,Pat Storck
3503001,John Stonebraker
3503002,Mike Storck
1404664,Cody Baggenstos
1404667,Justin Shand
1404668,Matt Boom
2037128,Hetty Baynes
1522654,Alex Marte
93190,Zack Beseda
106166,Count Smokula
10367,John Waters
76495,Susan Lowe
76496,Jean Hill
1229317,Bruno Tonioli
66885,Barry Gibb
1133295,Jeremy Ambler
1536126,Teresa Ambler
1536127,Katt Balsan
1376433,Susie Duecker
1376434,Patricia Quinn
19487,Jay Hernandez
33934,Derek Richardson
19119,Mélanie Laurent
52365,Cerina Vincent
21429,Sam Page
1015924,Carey Jones
20493,Sydney Tamiia Poitier
33656,Heather Matarazzo
39520,Garret Dillahunt
11462,Ellen Sandweiss
11465,Theresa Tilly
11464,Betsy Baker
155861,Bruce Bohne
1660529,Matt Roy
59183,Sarah-Jane Redmond
45445,Megan Gallagher
111207,Barra Grant
260967,Bill Moor
52602,Rob Morrow
2517,Donna Murphy
14392,Kathryn Bigelow
2053,Bill Paxton
60848,James Aaron Oliver
1229762,Jonathan Mangum
1337598,Alison Raimondi
31365,John Kassir
23967,Mary Ellen Trainor
78494,Beau Billingslea
571562,Steve Blum
75039,Crispin Freeman
141432,Allen Maldonado
1539987,Mandalynn Carlson
582854,Derek Brandon
52474,Jason London
21561,Tim Matheson
923,Dean Stockwell
29051,L. Scott Caldwell
19707,Charles Band
31302,Ted Newsom
100659,Ivan Cardoso
1262735,Gurcius Gewdner
31211,Clive Barker
1976249,Lisa Tuttle
100476,Bobbie Bresee
12515,José Ferrer
13578,Dana Andrews
9925,Martine Beswick
83198,Allan Arkush
101377,Paul Bartel
2922,Boris Karloff
30814,Sara Karloff
650,Karen Allen
104021,Ricou Browning
109255,Leonard Maltin
7505,Roddy McDowall
26660,Richard Kiley
3035391,Bob Kokai
3035392,Ronald V. Borst
79084,Jeff Rector
16028,William Marshall
41955,Griffin Drew
98226,Rodney Gray
35579,Debbie Rochon
100359,Nathan Sears
1144715,Eric Boardman
66758,Ray Harryhausen
31309,Hugh Hefner
105207,Barbi Benton
30807,Rudy Behlmer
30808,Ivan Butler
11173,Nick Dudman
1319490,Kevin Haney
7404,Sarah Silverman
64719,Lar Park Lincoln
58710,Amy Steel
1036843,James Balsamo
1351030,Jeff Kim
19302,Jason Mewes
16938,Renny Harlin
97915,Marilyn Eastman
27804,Gunnar Hansen
97914,Karl Hardman
27747,Chuck Connors
80579,Robert Z'Dar
55841,Ron O'Neal
7073,Michael Berryman
99906,John Bloom
87794,Mark Borchardt
2545,Lawrence Bender
59287,Gregory Nicotero
7248,Cliff Curtis
68082,Michael Sloane
8212,Peter Gallagher
222130,Eloise Mumford
11813,David Foster
15406,Bill Lancaster
511,Larry J. Franco
33054,Keith Gordon
1432094,Cody Carpenter
2159761,Daniel Davies
2932562,Tyler Lyle
2838131,Tim McEwan
2772005,Jeff Gelb
2772006,John J. Loyd
44810,Cassandra Peterson
4785,Jeff Goldblum
6929,Tippi Hedren
229715,Jean-Michel Jarre
1250815,Little Boots
39121,Moby
6856,Kurt Russell
65827,Keith David
11065,Wilford Brimley
32396,Richard Belzer
36190,Edie Falco
11181,Kenneth Branagh
44712,Jill Eikenberry
2056726,Kevin Dobson
52154,Stephen Sondheim
66776,Liza Minnelli
40389,Bernadette Peters
2628845,James Black
85142,Paul Ben-Victor
38026,Chris Noth
51641,Loryn Locklin
30810,Donald F. Glut
30112,Glenn Strange
17005,Doug Jones
109870,Tom Woodruff Jr.
235722,Haruo Nakajima
1660251,Ethan Levy
1074106,Victoria Scott
510,Tim Burton
10222,Roger Moore
1116483,Deirdre Flynn
1888957,Rory Flynn
131814,Michael Brandon
25666,Ian Hogg
936,Oliver Reed
5,Peter Cushing
1241229,Bob Wilkins
19794,Eddie Constantine
72717,Dawn Addams
38037,Marius Goring
222054,Selma Brook
1483204,Ryan Mercier
1483206,Tina Gray
2532964,Morris Bright
2532965,Philip Campbell
2532961,Richard Edwards
109,Elijah Wood
1327,Ian McKellen
882,Liv Tyler
110,Viggo Mortensen
3070363,Christina Hazard
3070364,Karl Kite-Rangi
1313,Andrew Lesnie
2183911,Annette Chaton
14999,George A. Romero
100507,Christine Forrest
105685,Giovanna Mezzogiorno
32055,Piero Tosi
1259,Ennio Morricone
12453,Wong Kar-wai
138,Quentin Tarantino
52267,William Petersen
59872,John Pankow
204962,Mark Kermode
1233541,Sonny Grosso
670,Ben Burtt
8750,Caleb Deschanel
107094,Dave Barry
112167,Roy Blount Jr.
38832,Thomas Gottschalk
1521150,Frank Schätzing
12074,John Lithgow
11155,Thomas Jane
1330888,Andy Bean
2501669,Marsha DeFilippo
